"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","COMMENT","CURRENT RATING [A]","DC RESISTANCE [OHM]","DCR","I_MAX","I_SAT","IMPEDANCE [OHM]","IMPEDANCE AT 100 MHZ","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAXIM INTEGRATED","MODEL","PN","POWER","PUBLISHER","Q","RATED CURRENT","RDC","SIZE","TEMP","TOLERANCE","VALUE","VENDOR","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"C_10000p_10_100_X7R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C0805C103K1RACTU","","","","","","0805","X7R","10%","10000p","Kemet","100","*","C?","Chip capacitor"
"C_10000p_10_10_X7R_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","GRM033R71A103KA01D","","","","","","0201","X7R","10%","10000p","Murata","10V","*","C?","Chip capacitor"
"C_10000p_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","UMK105B7103KV-F","","","","","","0402","X7R","10%","10000p","Taiyo Yuden","50","*","C?","Chip capacitor"
"C_10000p_10_50_X7R_0603","CAP0603_SENSE_DVT","Model Name","","","","","","=Value","","","","","","","","","","","","C1608X7R1H103K080AA","","","","","","0603","X7R","10%","10000p","TDK","50","*","C?","Chip capacitor"
"C_10000p_10_6.3_X7R_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","GRM033R70J103KA01D","","","","","","0201","X7R","10%","10000p","Murata","6.3V","*","C?","Chip capacitor"
"C_10000p_10_6.3_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM155R70J103KA01D","","","","","","0402","X7R","10%","10000p","Murata","6.3V","*","C?","Chip capacitor"
"C_10000p_1_25_NP0_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C0603C103F3GACTU","","","","","","0603","NP0","1%","10000p","Kemet","25V","*","C?","Chip capacitor"
"C_1000p_10_10_X7R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C0805C102K8RACTU","","","","","","0805","X7R","10%","1000p","Kemet","10V","*","C?","Chip capacitor"
"C_1000p_10_25_X7R_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","TMK063B7102KP-F","","","","","","0201","X7R","10%","1000p","Taiyo Yuden","25V","*","C?","Chip capacitor"
"C_1000p_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM155R71H102KA01D","","","","","","0402","X7R","10%","1000p","Murata","50V","","C?","Chip capacitor"
"C_1000p_10_6.3_X5R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM155R60J102KA01D","","","","","","0402","X5R","10%","1000p","Murata","6.3V","*","C?","Chip capacitor"
"C_100p_5_50_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM1535C1H101JDD5D","","","","","","0402","C0G","5%","100p","Murata","50V","*","C?","Chip capacitor"
"C_100u_10_16_6032_Tant","Tant_EIA_6032","","","","","","","=Value","","","","","","","","","","","","T491C107K016AT","","","","","","6032","","10%","100u","Kemet","16V","*","C?","Chip capacitor"
"C_100u_20_10_X5R_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216X5R1A107M160AC","","","","","","1206","X5R","20%","100u","TDK","10V","*","C?","Chip capacitor"
"C_100u_20_6.3_X5R_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216X5R0J107M160AB","","","","","","1206","X5R","20%","100u","TDK","6.3V","*","C?","Chip capacitor"
"C_10p_1_50_C0G_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","GRM0335C1H100FA01D","","","","","","0201","C0G","1 %","10 p","Murata","50 V","*","C?","Chip capacitor"
"C_10p_1_50_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM1555C1H100FA01D","","","","","","0402","C0G","1 %","10 p","Murata","50 V","*","C?","Chip capacitor"
"C_10u_10_10_X5R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM21BR61A106KE19L","","","","","","0805","X5R","10%","10u","Murata","10V","*","C?","Chip capacitor"
"C_10u_10_10_X5R_1210","CAP1210","","","","","","","=Value","","","","","","","","","","","","C1210C106K8PACTU","","","","","","1210","X5R","10%","10u","Kemet","10V","*","C?","Chip capacitor"
"C_10u_10_25_JB_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C2012JB1E106K085AC","","","","","","0805","JB","10%","10u","TDK","25V","*","C?","Chip capacitor"
"C_10u_10_6.3_X5R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1608X5R0J106K080AB","","","","","","0603","X5R","10%","10u","TDK","6.3V","*","C?","Chip capacitor"
"C_10u_20_10_X5R_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216X5R1A106M","","","","","","1206","X5R","20%","10u","TDK","10V","*","C?","Chip capacitor"
"C_10u_20_20_3528_Tant","Tant_EIA_3528","","","","","","","=Value","","","","","","","","","","","","T494B106M020AT","","","","","","3528","","10%","10u","Kemet","20V","*","C?","Chip capacitor"
"C_10u_20_25_JB_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1608JB1E106M080AC","","","","","","0603","JB","20%","10u","TDK","25V","*","C?","Chip capacitor"
"C_10u_20_6.3_X5R_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216X5R0J106M/0.85","","","","","","1206","X5R","20%","10u","TDK","6.3V","*","C?","Chip capacitor"
"C_12p_5_25_C0G_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","GRM0335C1E120JA01D","","","","","","0201","C0G","5%","12p","Murata","25V","*","C?","Chip capacitor"
"C_12p_5_50_NP0_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CC0402JRNPO9BN120","","","","","","0402","NP0","5 %","12 p","Yageo","50 V","*","C?","Chip capacitor"
"C_15p_5_16_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C0402C150J4GACTU","","","","","","0402","C0G","5%","15p","Kemet","16V","*","C?","Chip capacitor"
"C_15p_5_25_C0G_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","GRM0335C1E150JD01D","","","","","","0201","C0G","5%","15p","Murata","25V","*","C?","Chip capacitor"
"C_1800p_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM155R71H182KA01D","","","","","","0402","X7R","10%","1800p","Murata","50V","*","C?","Chip capacitor"
"C_18p_2_25_C0G_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","C0603C0G1E180G030BG","","","","","","0201","C0G","2 %","18p","TDK","25V","*","C?","Chip capacitor"
"C_1p_0.1_16_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM0225C1C1R0BD05L","","","","","","0402","C0G","0.1","1p","Murata","16V","*","C?","Chip capacitor"
"C_1p_10_50_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1005C0G1H010B050BA","","","","","","0402","C0G","10%","1p","TDK","50V","*","C?","Chip capacitor"
"C_1u_10_16_X5R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C0603C105K4PACTU","","","","","","0603","X5R","10%","1u","TDK","16V","*","C?","Chip capacitor"
"C_1u_10_50_X5R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","UMK107BJ105KA-T","","","","","","0603","X5R","10%","1u","Taiyo Yuden","50V","*","C?","Chip capacitor"
"C_1u_10_6.3_X5R_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","CL03A105KQ3CSNC","","","","","","0201","X5R","10%","1u","Samsung","6.3V","*","C?","Chip capacitor"
"C_1u_10_6.3_X5R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","JMK105BJ105KV-F","","","","","","0402","X5R","10%","1u","Taiyo Yuden","6.3V","*","C?","Chip capacitor"
"C_1u_10_6.3_X7R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CGJ4J2X7R0J105K125AA","","","","","","0805","X7R","10%","1u","TDK","6.3","*","C?","Chip capacitor"
"C_2.2p_0.05_50_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM1555C1H2R2WA01D","","","","","","0402","C0G","0.05","2.2 p","Murata","50 V","*","C?","Chip capacitor"
"C_2.2u_10_10_X7R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1608X7R1A225K080AC","","","","","","0603","X7R","10%","2.2u","TDK","10V","*","C?","Chip capacitor"
"C_2.2u_10_16_X7R_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216X7R1C225K/1.60","","","","","","1206","X7R","10%","2.2u","TDK","16V","*","C?","Chip capacitor"
"C_2.2u_10_20_3528_Tant","Tant_EIA_3528","","","","","","","=Value","","","","","","","","","","","","T494B225K020AT","","","","","","3528","","10%","2.2u","Kemet","20V","*","C?","Chip capacitor"
"C_2.2u_20_4_X7S_0306","CAP0306","","","","","","","=Value","","","","","","","","","","","","LLL185C70G225ME01L","","","","","","0306","X7S","20%","2.2u","Murata","4V","*","C?","Chip capacitor"
"C_2200p_5_16_STD_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","EMK105SD222JV-F","","","","","","0402","Standard","5 %","2200p","Taiyo Yuden","16V","*","C?","Chip capacitor"
"C_220p_5_50_NP0_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM1555C1H221JA01D","","","","","","0402","NP0","5%","220p","Murata","50V","*","C?","Chip capacitor"
"C_220u_20_10_3528_Tant","Tant_EIA_3528","","","","","","","=Value","","","","","","","","","","","","TLNT227M010R1300","","","","","","3528","","20%","220u","Kemet","10V","*","C?","Chip capacitor"
"C_22n_10_25_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","TMK105B7223KV-F","","","","","","0402","X7R","10%","22n","Taiyo Yuden","25V","*","C?","Chip capacitor"
"C_22n_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM155R71H223KA12J","","","","","","0402","X7R","10%","22n","Murata","50V","*","C?","Chip capacitor"
"C_22p_5_50_C0G_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CC0805JRNP09BN220","","","","","","0805","C0G","5%","22p","Yageo","50V","*","C?","Chip capacitor"
"C_22u_10_20_JB_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1608JB1A226M080AC","","","","","","0603","JB","20%","22u","TDK","10V","*","C?","Chip capacitor"
"C_22u_10_25_X5R_1210","CAP1210","","","","","","","=Value","","","","","","","","","","","","GRM32ER61E226KE15L","","","","","","1210","X5R","10%","22u","Murata","25V","*","C?","Chip capacitor"
"C_27p_2_25_NP0_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","250R05L270GV4T","","","","","","0201","NP0","2 %","27p","Johanson","25V","*","C?","Chip capacitor"
"C_27p_5_50_C0G_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","UMK063CG270JT-F","","","","","","0201","C0G","5 %","27p","Taiyo Yuden","50V","*","C?","Chip capacitor"
"C_3.3u_10_10_0603_Tant","CAP0603_POLARIZED","","","","","","","=Value","","","","","","","","","","","","TPCL335K010R5000","","","","","","0603","","10%","3.3u","AVX","10V","*","C?","Chip capacitor"
"C_3.3u_10_6.3_X7R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CGJ4J2X7R0J335K125AA","","","","","","0805","X7R","10%","3.3u","TDK","6.3V","*","C?","Chip capacitor"
"C_33p_5_50_NP0_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1608C0G1H330J080AA","","","","","","0603","NP0","5%","33p","TDK","50V","*","C?","Chip capacitor"
"C_4.7u_10_10_0603_Tant","CAP0603_POLARIZED","","","","","","","=Value","","","","","","","","","","","","TPCL475K010R5000","","","","","","0603","","10%","4.7u","AVX","10V","*","C?","Chip capacitor"
"C_4.7u_10_10_JB_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1005JB1A475K050BC","","","","","","0402","JB","10%","4.7u","TDK","10V","*","C?","Chip capacitor"
"C_4.7u_10_10_X5R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","0805ZD475KAT2A","","","","","","0805","X5R","10%","4.7u","AVX","10V","*","C?","Chip capacitor"
"C_4.7u_20_10_X5R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CGB3B1X5R1A475M055AC","","","","","","0603","X5R","20%","4.7u","TDK","10V","*","C?","Chip capacitor"
"C_4.7u_20_6.3_X5R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","GRM188R60J475ME19D","","","","","","0603","X5R","20%","4.7u","Murata","6.3V","*","C?","Chip capacitor"
"C_4700p_10_50_X7R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CGA3E2X7R1H472K080AD","","","","","","0603","XR7","10%","4700p","TDK","50V","*","C?","Chip capacitor"
"C_4700p_5_50_NP0_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1608C0G1H472J080AA","","","","","","0603","NP0","5%","4700p","TDK","50V","*","C?","Chip capacitor"
"C_47u_20_10_X5R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C2012X5R1A476M125AC","","","","","","0805","X5R","20%","47u","TDK","10V","*","C?","Chip capacitor"
"C_6.8p_0.25_25_C0G_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","GJM0335C1E6R8CB01D","","","","","","0201","C0G","+/- 0.25p","6.8p","Murata","25V","*","C?","Chip capacitor"
"C_9p_0.5_16_C0G_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C0402C0G1C090D020BC","","","","","","0402","C0G","0.5","9p","Murata","16V","*","C?","Chip capacitor"
"Cap-SMT","CAP0201","CAP0402","CAP0306","CAP0603","","","","=Value","","","","","","","","","","","*","","","","","","","0201","X5R","10%","*","Taiyo Yuden","25v","*","C?","Chip capacitor"
"Cortex-debug_10pin","","","","","","","","=PN","","","","","","","","","","","","FTSH-105-01-F-DV-K","","","","","","","","","","Samtec","","*","J?","Cortex debug connector with JTAG interface"
"Crystal_12M_30_30_12_200","TXC_7S_crystal","","","","","","","=PN","","","","","","","","","","","","7S-12.000MAHE-T","","","","","","","","","","TXC","","*","X?","12 MHz crystal"
"Crystal_12M_50_30_18_50","Abracon_HC/49US","","","","","","","=PN","","","","","","","","","","","","ABLS-12.000MHZ-B4-T","","","","","","","","","","Abracon","","*","X?","12 MHz crystal"
"Crystal_24M_50_30_18_40","Abracon_HC/49US","","","","","","","=PN","","","","","","","","","","","","ABLS-24.000MHZ-B4-T","","","","","","","","","","Abracon","","*","X?","24 MHz crystal"
"Crystal_32.768k_-_10_12.5_50k","ABS25","","","","","","","=PN","","","","","","","","","","","","ABS25-32.768KHZ-6-1-T","","","","","","","","","","Abracon","","*","X?","32.768kHz crystal"
"Crystal_4.096M_30_30_18_180","Abracon_HC/49US","","","","","","","=PN","","","","","","","","","","","","ABLS2-4.096MHZ-D4Y-T","","","","","","","","","","Abracon","","*","X?","4.096 MHz crystal"
"Crystal_40M_50_50_18_50","ABM3B_CRYSTAL","","","","","","","=PN","","","","","","","","","","","","ABM3B-40.000MHZ-10-1-U-T","","","","","","","","","","Abracon","","*","X?","Abracon 40 MHz crystal"
"Crystal_48M_20_20_8_100","ABM12_crystal","","","","","","","=PN","","","","","","","","","","","","ABM12-48.000MHZ-B2X-T3","","","","","","","","","","Abracon","","*","X?","48 MHz crystal"
"Cuttable_trace_0.25mm","cuttable_trace_0.25","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","T?","0.25 mm cuttable trace for debugging purpose"
"DAC7512","SOT-23-6","","","","","","","=PN","","","","","","","","","","","","DAC7512","","","","","","","","","","TI","","*","U?","TI 12-bit serial DAC"
"DEA202450BT-1294C1-H","DEA202450BT-1294C1-H","","","","","","","=PN","","","","","","","","","","","","DEA202450BT-1294C1-H","","","","","","","","","","TDK","","*","U?","SAW filter for 2.4 GHz WLAN"
"DIO_1SS404TPH3F","SOD-323","","","","","","","=PN","","","","","","","","","","","","1SS404TPH3F","","","","","","","","","","Toshiba","","*","D?","Schottky diode, 700 mA, 20 Vr"
"DTC114EMT2L","DTC114EM","","","","","","","*","","","","","","","","","","","","DTC114EM","","","","","","","","","","Rohm","","*","Q?","NPN Digital transistor (built-in bias resistors)"
"ELJ-QE12NGFA","IND_0603","IND_0402","","","","","","12nH","","","","","","","","","","","","","","","","","","","","","","","","*","L?","Panasonic chip inductor 0603 +-2% Q61.9 @800MHz Resonant 4.9GHz"
"EXB18V","EXB18V","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","50","","","*","R?","Panasonic Resistor Network (4x 0201)"
"Epson_FC-135 32.7680KA-AC3","Epson_FC-135","","","","","","","=PN","","","","","","","","","","","","FC-135 32.7680KA-AC3","","","","","","","","","","Epson","","*","X?","Epson 32kHz crystal, 9pF"
"FB_1k_2_0.06_1810","RES1810","","","","","","","=PN","","","0.06 ohm","","","","1k","","","","","FBMH4525HM162NT","","","","2 A","","","","","","Taiyo Yuden","","*","FB?","Ferrite bead, 1kohm impedance"
"FB_300_2_0.15_0603","RES0603_SENSE_DVT","","","","","","","=PN","","","0.15 ohm","","","","300","","","","","742792641","","","","2 A","","","","","","Wuerth","","*","FB?","Ferrite bead, 300 ohm impedance"
"FB_600_1.5_100m","RES0805","","","","","","","=Value","1.5","100m","","","","600","","","","","*","MI0805K601R-10","","","","","","0805","","","","Laird","","*","FB?","Chip Resistor"
"FCI_USB_micro_B","FCI_10103593-0001LF","","","","","","","*","","","","","","","","","","","","10103593-0001LF","","","","","","","","","","FCI","","*","P?","board-cut USB connector"
"FCI_USB_micro_B_10103592","FCI_10103592-0001LF","","","","","","","*","","","","","","","","","","","","10103592-0001LF","","","","","","","","","","FCI","","*","P?","board-cut USB connector"
"Fiducial-0.5","Fiducial-0.5","","","","","","","Fiducial","","","","","","","","","","","","","","","","","","","","","","","","*","F?","Fiducial with 0.5mm radius and 0.5mm paste expansion"
"G3T22","GT32X_upright_toggle","","","","","","","=PN","","","","","","","","","","","","G3T22","","","","","","","","","","NKK Switches","","*","SW?","DPDT Sealed switch"
"GP2Y1010AU0F","JST_S6B-ZR-SM4A-TF (LF)(SN)(P)","","","","","","","=PN","","","","","","","","","","","","GP2Y1010AU0F","","","","","","","","","","Sharp","","*","U?","Sharp dust sensor"
"GRPB31VWTC-RC","GRPB31VWTC-RC","","","","","","","GRPB31VWTC-RC","","","","","","","","","","","","GRPB31VWTC-RC","","","","","","","","","","Sullins","","*","J?","Sullivan 3-pin 1.27mm pitch SMD header"
"GSD4e","BGA48","","","","","","","CSR GSD4e","","","","","","","","","","","","","","","","","","","","","","","","*","U?","CSR GSD4e WLCSP 42-ball"
"HDR1X2","HDR1X2","","","","","","","HDR1X2","","","","","","","","","","","","68000-102HLF","","","","","","","","","","FCI","","","P?","Header, 2-pin"
"HDR1X4","HDR1X4","","","","","","","HDR1X4","","","","","","","","","","","","68000-104HLF","","","","","","","","","","FCI","","","P?","Header, 4-pin"
"HDR2.00-2X3-SMD","HDR2.00-2X3-SMD","","","","","","","=Description","","","","","","","","","","","","","","","","","","","","","","","","*","P?","BOB headers"
"HTU21D","HTU2xx","","","","","","","=PN","","","","","","","","","","","","HTU21D","","","","","","","","","","Measurement specialties","","*","U?","Meas-spec T/H sensor"
"Hole","HOLE_ROUND_0.6mm","HOLE_ROUND_1.6mm","HOLE_ROUND_1.7mm","HOLE_ROUND_2.4mm","HOLE_ROUND_3.1mm","HOLE_ROUND_2.1mm","HOLE_ROUND_1.8mm","*","","","","","","","","","","","","","","","","","","","","","","","","*","H?","general purpose hole"
"I587","I587","","","","","","","I587 TCXO 16.384MHz","","","","","","","","","","","","","","","","","","","","","","","","*","X?","ISLI I587 TCXO 16.384MHz"
"ID_BLOCK","Hello Band","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","*","(DNP)"
"IL3X","IL3X","","","","","","","IL3X 32.768 MHz","","","","","","","","","","","","","","","","","","","","","","","","*","X?","ILSI IL3X Crystal Oscillator 32.768 MHz"
"ILCX19-FB5F18-16.000MHz","ILCX19","","","","","","","ILCX19-FB5F18-16.000MHz","","","","","","","","","","","","ILCX19-FB5F18-16.000MHz","","","","","","","","","","ILSI","","*","X?","ILSI ILCX19 16 MHz Crystal Oscillator"
"INA199A1RSW","UQFN10","","","","","","","*","","","","","","","","","","","","INA199A1RSW","","","","","","","","","","TI","","*","U?","Voltage output current shunt monitor"
"INMP421","INMP421_broken","INMP421","","","","","","=PN","","","","","","","","","","","","INMP421","","","","","","","","","","InvenSense","","*","U?","Omnidirectional digital microphone with PDM interface"
"INMP441","INMP441","","","","","","","=PN","","","","","","","","","","","","INMP441","","","","","","","","","","InvenSense","","*","U?","Omnidirectional digital microphone with I2S interface"
"JST_S6B-ZR-SM4A-TF (LF)(SN)(P)","JST_S6B-ZR-SM4A-TF (LF)(SN)(P)","","","","","","","=PN","","","","","","","","","","","","JST_S6B-ZR-SM4A-TF (LF)(SN)(P)","","","","","","","","","","JST","","*","P?","6-pin JST connector"
"JTAG ZIF Socket","51441-0893","","","","","","","JTAG Socket","","","","","","","","","","","","","","","","","","","","","","","","*","C?","Molex 8-pin ribbon ZIF socket"
"Johanson_2500AT44M0400E","Johanson_2500AT44M0400E","","","","","","","=PN","","","","","","","","","","","","2500AT44M0400E","","","","","","","","","","Johanson","","*","ANT?","Chip antenna 2.4 GHz"
"Knowles_2403-260-00001","Knowles_2403-260-00001","","","","","","","=PN","","","","","","","","","","","","2403-260-00001","","","","","","","","","","Knowles","","*","SP?","Knowles SMD speaker"
"LAYER_BLOCK","Layer Stackup","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","*","(DNP)"
"LM3370SD-4221","wson-16","","","","","","","=PN","","","","","","","","","","","","LM3370SD-4221","","","","","","","","","","TI","","*","U?","TI PMIC with fixed 3.3 and 1.8 outputs"
"LM3673TL-1.8","DSBGA-5","","","","","","","=PN","","","","","","","","","","","","LM3673TL-1.8","","","","","","","","","","TI","","*","U?","TI switcher 1.8V regulator"
"LP5907MFX-3.3","SOT-23-5","","","","","","","=PN","","","","","","","","","","","","LP5907MFX-3.3","","","","","","","","","","TI","","*","U?","TI LDO 3.3V regulator"
"LSM330DLC","LGA-28","","","","","","","LSM330DLC","","","","","","","","","","","","","","","","","","","","","","","","*","U?","ST Micro LSM330DLC SPI Acceleromter / Gyroscope"
"LTST-C19HE1WT","DFN165X210X160X80-4N","","","","","","","=PN","","","","","","","","","","","","LTST-C19HE1WT","","","","","","","","","","LITE-ON","","","D?","RGB LED Array"
"L_10u_20_?_0.468_0.68_0.48","IND_1007","","","","","","","=Value","","","","0.68","0.48","","","","","","","CBC2518T100M","","","?","","0.468","","","20%","10u","Taiyo Yuden","","*","L?","SMD power inductor, 10uH"
"L_15u_20_28_0.24_0.92_1.4","SDR0403-xxxxL","","","","","","","=Value","","","","0.92","1.40","","","","","","","SDR0403-150ML","","","28","","0.24","","","20%","15u","BOURNS","","*","L?","SMD power inductor, 15uH"
"L_1n_0.1_?_0.100_0.4_?","RES0402_SENSE_DVT","","","","","","","=Value","","","","0.4","?","","","","","","","LQP15MN1N0B02","","","?","",".100","","","0.1","1n","Murata","","*","L?","SMD RF inductor 2.2nH"
"L_1u_20_?_0.055_?_1.6","IND_1008","","","","","","","=Value","","","","1.6","?","","","","","","","LQM2HPN1R0MG0","","","?","","0.055","","","20%","1u","Murata","","*","L?","SMD power inductor, 1uH"
"L_1u_20_?_0.059_1.94_1.68","EPL2014-xxxMLx","","","","","","","=Value","","","","1.94","1.68","","","","","","","EPL2014-102MLB","","","?","","0.059","","","20%","1u","Coilcraft","","*","L?","SMD power inductor, 1uH"
"L_1u_20_?_0.12_?_1.2","IND_1206","","","","","","","=Value","","","","1.2","?","","","","","","","LQM31PN1R0M00","","","?","","0.12","","","20%","1u","Murata","","*","L?","SMD power inductor, 1uH"
"L_2.2n_0.1_?_0.150_0.9_?","IND_0402","","","","","","","=Value","","","","0.9","?","","","","","","","MLG1005S2N2BT000","","","?","","0.150","","","0.1","2.2n","TDK","","*","L?","SMD RF inductor 2.2nH"
"L_2.2u_20_?_0.08_?_1.3","IND_1008","","","","","","","=Value","","","","1.3","?","","","","","","","LQM2HPN2R2MG0","","","?","","0.08","","","20%","2.2u","Murata","","*","L?","SMD power inductor, 2.2uH"
"L_2.2u_20_?_0.195_1.05_1.05","VLS201612Ex-xxxx","","","","","","","=Value","","","","1.05","1.05","","","","","","","VLS201612ET-2R2M","","","?","","0.195","","","20%","2.2u","TDK","","*","L?","SMD power inductor, 2.2uH"
"L_2.2u_20_?_0.9_?_0.9","IND_1206","","","","","","","=Value","","","","0.9","?","","","","","","","LQM31PN2R2M00","","","?","","0.19","","","20%","2.2u","Murata","","*","L?","SMD power inductor, 2.2uH"
"L_22u_10_10_1_0.105_?","NLFV25-T-xxx-xx","","","","","","","=Value","","","","0.105","?","","","","","","","NLFV25T-220K-PF","","","10","","1","","","10%","22u","TDK","","*","L?","SMD power inductor, 22uH"
"M310210","M310210","M310210-2","M310210-3","","","","","M310210","","","","","","","","","","","","M310210","","","","","","","","","","Savvi","","*","A?","Savvi M310210 Bluetooth Antenna"
"M830110","M830110","M830110-2","","","","","","M830110","","","","","","","","","","","","","","","","","","","","","","","","*","A?","Savvi M830110 GPS Antenna"
"MAX4780","QFN127P600-8N","","","","","","","MAX4780","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Maxim Quad 2:1 multiplexer"
"MAX9934T/F","uMAX8","","","","","","","*","","","","","","","","","","Vendor","","MAX9934T/F","","","","","","","","","","","","*","U?","High-precision low-voltage curren-sense amplifier with current output and chip select for multiplexing"
"MCP6001","MCP6001","","","","","","","=PN","","","","","","","","","","","","MCP6001","","","","","","","","","","Microchip","","*","OP?","Op Amp"
"MCP6002T-E/MC","MCP6002T-E/MC","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","Op?","Microchip MCP6002T-E/MC 1MHz Dual Low Power OpAmp"
"MHDR1X2","MHDR1X2","","","","","","","MHDR1X2","","","","","","","","","","","","GRPB021VWVN-RC","","","","","","","","","","Sullins connector","","","P?","Header, 2-Pin"
"MHDR1X3","MHDR1X3","","","","","","","MHDR1X3","","","","","","","","","","","","GRPB031VWVN-RC","","","","","","","","","","Sullins connector","","","P?","Header, 3-Pin"
"MHDR1X6","MHDR1X6","","","","","","","MHDR1X6","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","","","","","P??","Header, 6-Pin"
"MHDR2X10_SMD","MHDR2X10_SMD","","","","","","","MHDR2X10_SMD","","","","","","","","","","","","GRPB102VWQS-RC","","","","","","","","","","Sullins Interconnect","","","P?","Header, 20-Pin, Dual row SMD"
"MHDR2X3","MHDR2X3","","","","","","","MHDR2X3","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","","","","","P??","Header, 6-Pin, Dual row"
