"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","COMMENT","CURRENT RATING [A]","DC RESISTANCE [OHM]","DCR","I_MAX","I_SAT","IMPEDANCE [OHM]","IMPEDANCE AT 100 MHZ","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAXIM INTEGRATED","MODEL","PN","POWER","PUBLISHER","Q","RATED CURRENT","RDC","SIZE","TEMP","TOLERANCE","VALUE","VENDOR","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"Solderbridge_short_1mm","Solderbridge_short_1mm","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","T?","Solderbridge, shorted"
"Solderbridge_short_2mm","Solderbridge_short_2mm","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","T?","Solderbridge, shorted"
"TB62752BFUG","TB62755FPG","","","","","","","TB62752BFUG","","","","","","","","","","","","","","","","","","","","","","","","*","LD?","Toshiba LED Driver"
"TL3700AF160QG","TL3700AF160QG","","","","","","","=PN","","","","","","","","","","","","TL3700AF160QG","","","","","","","","","","E-switch","","*","SW?","SPST-NO tactile pushbutton 160gf"
"TLC5940RHB","QFN-33_5x5mm","","","","","","","=PN","","","","","","","","","","","","TLC5940RHB","","","","","","","","","","Texas Instruments","","*","U?","16 channels LED driver 120mA"
"TLV1117LV-33","SOT-223","","","","","","","TLV1117LV-33","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TI LDO 3.3v 800ma IC Regulator 4.7-15v"
"TLV70033DSE","TLV70033DSE","","","","","","","*","","","","","","","","","","","","TLV70033DSE","","","","","","","","","","TI","","*","U?","LDO Regulator"
"TP","TP-0.3","TP-0.6","TP-1.1","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","TP?","testpoint"
"TP-0.8","TP-0.8","","","","","","","TP-0.8","","","","","","","","","","","","","","","","","","","","","","","","*","TP-0.8","testpoint"
"TPS61160","QFN-6","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","*","TI LED Driver"
"TPS61220DCKT","SOT65P212X110-6N","","","","","","","=PN","","","","","","","","","","","","TPS61220DCKT","","","","","","","","","","TI","","","U?","TI Boost Converter"
"TPS62120DCN","","","","","","","","=PN","","","","","","","","","","","","TPS62120DCN","","","","","","","","","","TI","","*","U?","15V, 75 mA DC/DC buck converter"
"TPS62125","TPS62125","","","","","","","=PN","","","","","","","","","","","","TPS62125","","","","","","","","","","TI","","*","U?","Bukc-Boost DC/DC converter 2A output"
"TPS63061DSC","TPS6306x","","","","","","","=PN","","","","","","","","","","","","TPS63061DSC","","","","","","","","","","TI","","*","U?","Bukc-Boost DC/DC converter 2A output"
"TPS79718DCK","SOT65P212X110-5N","","","","","","","=PN","","","","","","","","","","","","TPS79718DCK","","","","","","","","","","TI","","","U?","LDO 1.8V SC70-5"
